,ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
200,6,Other,2016,2016,41518,17402.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
201,6,Other,2016,2016,46383,21071.0,"Fulton County, GA",05000US13121,fulton-county-ga
202,7,Two Or More,2016,2016,58049,15748.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
203,7,Two Or More,2016,2016,58422,17924.0,"Fulton County, GA",05000US13121,fulton-county-ga
204,8,White Non-Hispanic,2016,2016,88344,4891.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
205,8,White Non-Hispanic,2016,2016,97017,5840.0,"Fulton County, GA",05000US13121,fulton-county-ga
206,9,Hispanic,2016,2016,50525,5462.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
207,9,Hispanic,2016,2016,52116,3995.0,"Fulton County, GA",05000US13121,fulton-county-ga
208,0,Total,2016,2016,53843,2765.0,"Atlanta, GA",16000US1304000,atlanta-ga
209,1,White,2016,2016,88226,6427.0,"Atlanta, GA",16000US1304000,atlanta-ga
210,2,Black,2016,2016,29107,2361.0,"Atlanta, GA",16000US1304000,atlanta-ga
211,3,Native American,2016,2016,67288,29638.0,"Atlanta, GA",16000US1304000,atlanta-ga
212,4,Asian,2016,2016,84408,18541.0,"Atlanta, GA",16000US1304000,atlanta-ga
213,6,Other,2016,2016,55355,41990.0,"Atlanta, GA",16000US1304000,atlanta-ga
214,7,Two Or More,2016,2016,57340,27600.000000000004,"Atlanta, GA",16000US1304000,atlanta-ga
215,8,White Non-Hispanic,2016,2016,90396,5584.0,"Atlanta, GA",16000US1304000,atlanta-ga
216,9,Hispanic,2016,2016,66458,22720.0,"Atlanta, GA",16000US1304000,atlanta-ga
217,0,Total,2016,2016,62613,890.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
218,1,White,2016,2016,72863,1290.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
219,2,Black,2016,2016,48161,1481.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
220,3,Native American,2016,2016,27843,7919.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
221,4,Asian,2016,2016,80209,3352.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
222,5,Pacific Islander,2016,2016,71265,60461.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
223,6,Other,2016,2016,43919,3741.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
224,7,Two Or More,2016,2016,65832,8038.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
225,8,White Non-Hispanic,2016,2016,75435,1099.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
226,9,Hispanic,2016,2016,50563,2109.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
227,0,Total,2015,2015,55775,85.0,United States,01000US,united-states
228,1,White,2015,2015,59698,140.0,United States,01000US,united-states
229,2,Black,2015,2015,36544,162.0,United States,01000US,united-states
230,3,Native American,2015,2015,38530,939.0,United States,01000US,united-states
231,4,Asian,2015,2015,77368,547.0,United States,01000US,united-states
232,5,Pacific Islander,2015,2015,55607,2870.0,United States,01000US,united-states
233,6,Other,2015,2015,42461,349.0,United States,01000US,united-states
234,7,Two Or More,2015,2015,51737,460.0,United States,01000US,united-states
235,8,White Non-Hispanic,2015,2015,61394,95.0,United States,01000US,united-states
236,9,Hispanic,2015,2015,44782,281.0,United States,01000US,united-states
237,0,Total,2015,2015,51244,372.0,Georgia,04000US13,georgia
238,1,White,2015,2015,58791,852.0,Georgia,04000US13,georgia
239,2,Black,2015,2015,37855,1008.0000000000001,Georgia,04000US13,georgia
240,3,Native American,2015,2015,38128,6915.000000000001,Georgia,04000US13,georgia
241,4,Asian,2015,2015,72924,3504.0,Georgia,04000US13,georgia
242,6,Other,2015,2015,37218,2757.0,Georgia,04000US13,georgia
243,7,Two Or More,2015,2015,49279,3975.0,Georgia,04000US13,georgia
244,8,White Non-Hispanic,2015,2015,60125,563.0,Georgia,04000US13,georgia
245,9,Hispanic,2015,2015,41252,1356.0,Georgia,04000US13,georgia
246,0,Total,2015,2015,54057,2666.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
247,0,Total,2015,2015,60291,1759.9999999999998,"Fulton County, GA",05000US13121,fulton-county-ga
248,1,White,2015,2015,74350,3897.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
249,1,White,2015,2015,88853,4051.0,"Fulton County, GA",05000US13121,fulton-county-ga
250,2,Black,2015,2015,45449,2037.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
251,2,Black,2015,2015,37527,1782.9999999999998,"Fulton County, GA",05000US13121,fulton-county-ga
252,3,Native American,2015,2015,35856,9217.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
253,3,Native American,2015,2015,37574,18767.0,"Fulton County, GA",05000US13121,fulton-county-ga
254,4,Asian,2015,2015,70676,15898.000000000002,"DeKalb County, GA",05000US13089,dekalb-county-ga
255,4,Asian,2015,2015,100214,9845.0,"Fulton County, GA",05000US13121,fulton-county-ga
256,6,Other,2015,2015,28187,5936.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
257,6,Other,2015,2015,40262,14679.0,"Fulton County, GA",05000US13121,fulton-county-ga
258,7,Two Or More,2015,2015,36463,16653.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
259,7,Two Or More,2015,2015,53115,14497.0,"Fulton County, GA",05000US13121,fulton-county-ga
260,8,White Non-Hispanic,2015,2015,78548,3562.0000000000005,"DeKalb County, GA",05000US13089,dekalb-county-ga
261,8,White Non-Hispanic,2015,2015,91843,2626.0,"Fulton County, GA",05000US13121,fulton-county-ga
262,9,Hispanic,2015,2015,40019,4604.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
263,9,Hispanic,2015,2015,54234,9507.0,"Fulton County, GA",05000US13121,fulton-county-ga
264,0,Total,2015,2015,50210,2242.0,"Atlanta, GA",16000US1304000,atlanta-ga
265,1,White,2015,2015,81640,3331.0,"Atlanta, GA",16000US1304000,atlanta-ga
266,2,Black,2015,2015,30831,1696.9999999999998,"Atlanta, GA",16000US1304000,atlanta-ga
267,3,Native American,2015,2015,20842,9568.0,"Atlanta, GA",16000US1304000,atlanta-ga
268,4,Asian,2015,2015,75589,7650.000000000001,"Atlanta, GA",16000US1304000,atlanta-ga
269,7,Two Or More,2015,2015,52457,14492.0,"Atlanta, GA",16000US1304000,atlanta-ga
270,8,White Non-Hispanic,2015,2015,82184,3806.0,"Atlanta, GA",16000US1304000,atlanta-ga
271,9,Hispanic,2015,2015,49799,12912.0,"Atlanta, GA",16000US1304000,atlanta-ga
272,0,Total,2015,2015,60219,463.99999999999994,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
273,1,White,2015,2015,70562,701.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
274,2,Black,2015,2015,45736,925.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
275,3,Native American,2015,2015,37957,6458.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
276,4,Asian,2015,2015,76241,2759.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
277,6,Other,2015,2015,39924,4361.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
278,7,Two Or More,2015,2015,50719,3656.9999999999995,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
