SalesKey	Region	Month	Median price	Year	MonthNo
468	Bolton	March	125000	2012	3
469	Bolton Hills	March	null	2012	3
470	Boulder Park	March	null	2012	3
471	Boulevard Heights	March	50000	2012	3
472	Brandon	March	625000	2012	3
473	Brentwood	March	null	2012	3
474	Brookview Heights	March	null	2012	3
475	Brookwood	March	267000	2012	3
476	Brookwood Hills	March	221000	2012	3
477	Brookwood Hills Conservation District	March	796000	2012	3
478	Browns Mill Park	March	15000	2012	3
479	Buckhead	March	300000	2012	3
480	Buckhead Forest	March	215000	2012	3
481	Buckhead Heights	March	244000	2012	3
482	Bush Mountain	March	102000	2012	3
483	Cabbagetown	March	200000	2012	3
484	Campbellton Road	March	13000	2012	3
485	Candler Park	March	108000	2012	3
486	Capitol View	March	27000	2012	3
487	Capitol View Manor	March	10000	2012	3
488	Carey Park	March	10000	2012	3
489	Carroll Heights	March	13000	2012	3
490	Carver Hills	March	8000	2012	3
491	Cascade Avenue	March	18000	2012	3
492	Cascade Heights	March	37000	2012	3
493	Castleberry Hill	March	110000	2012	3
494	Castleberry Hill Landmark District	March	119000	2012	3
495	Castlewood	March	1250000	2012	3
496	Centennial Hill	March	130000	2012	3
497	Center Hill	March	10000	2012	3
498	Channing Valley	March	null	2012	3
499	Chastain Park	March	708000	2012	3
500	Chosewood Park	March	40000	2012	3
501	Collier Heights	March	22000	2012	3
502	Collier Hills	March	458000	2012	3
503	Collier Hills North	March	501000	2012	3
504	Colonial	March	175000	2012	3
505	Constitution	March	23000	2012	3
506	Cross Creek	March	56000	2012	3
507	Custer-Mcdonough-Guice	March	35000	2012	3
508	Deerwood	March	21000	2012	3
509	Dixie Hills	March	9000	2012	3
510	Downtown Atlanta	March	110000	2012	3
511	East Atlanta	March	85000	2012	3
512	East Atlanta Village	March	null	2012	3
513	East Chastain Park	March	99000	2012	3
514	Edgewood	March	119000	2012	3
515	Elmco Estates	March	null	2012	3
516	English Avenue	March	4000	2012	3
517	English Park	March	12000	2012	3
518	Fairburn	March	50000	2012	3
519	Fairburn Heights	March	16000	2012	3
520	Fairburn Mays	March	25000	2012	3
521	Fairburn Road-Wisteria Lane	March	null	2012	3
522	Fairburn Tell	March	null	2012	3
523	Fairlie-Poplar	March	105000	2012	3
524	Fairway Acres	March	21000	2012	3
525	Fernleaf	March	null	2012	3
526	Five Points District	March	24000	2012	3
527	Florida Heights	March	9000	2012	3
528	Garden Hills	March	365000	2012	3
529	Georgia State University	March	110000	2012	3
530	Glenrose Heights	March	40000	2012	3
531	Glenwood Park	March	202000	2012	3
532	Grant Park	March	140000	2012	3
533	Green Forest Acres	March	38000	2012	3
534	Greenbriar	March	40000	2012	3
535	Grove Park	March	9000	2012	3
536	Hammond Park	March	12000	2012	3
537	Hanover West	March	422000	2012	3
538	Harland Terrace	March	21000	2012	3
539	Harris Chiles	March	null	2012	3
540	Harris Manor	March	null	2012	3
541	Heritage Valley	March	16000	2012	3
542	High Point	March	85000	2012	3
543	Hills Park	March	225000	2012	3
544	Historic Brookhaven	March	448000	2012	3
545	Home Park	March	127000	2012	3
546	Hunter Hills	March	18000	2012	3
547	Inman Park	March	360000	2012	3
548	Intown South	March	26000	2012	3
549	Joyland	March	7000	2012	3
550	Kings Forest	March	52000	2012	3
551	Kingswood	March	615000	2012	3
552	Knight Park-Howell Station	March	183000	2012	3
553	Lakewood	March	17000	2012	3
554	Lakewood Heights	March	22000	2012	3
555	Laurens Valley	March	23000	2012	3
556	Leila Valley	March	25000	2012	3
557	Lenox	March	244000	2012	3
558	Lincoln	March	14000	2012	3
559	Lindbergh-Morosgo	March	42000	2012	3
560	Little Five Points	March	40000	2012	3
561	Loring Heights	March	240000	2012	3
562	Luckie Marietta	March	215000	2012	3
563	Magnum Manor	March	125000	2012	3
564	Margaret Mitchell	March	375000	2012	3
565	Marietta Street Artery	March	null	2012	3
566	Martin Luther King Jr. Landmark District	March	165000	2012	3
567	Martin Manor	March	253000	2012	3
568	Mays	March	47000	2012	3
569	Mechanicsville	March	26000	2012	3
570	Memorial Park	March	525000	2012	3
571	Midtown	March	143000	2012	3
572	Midwest Cascade	March	326000	2012	3
573	Monroe Heights	March	81000	2012	3
574	Morningside-Lenox Park	March	356000	2012	3
575	Mount Paran	March	550000	2012	3
576	Mount Paran Parkway	March	null	2012	3
577	Mozley Park	March	23000	2012	3
578	Niskey Lake	March	null	2012	3
579	North Buckhead	March	259000	2012	3
580	Northeast Atlanta	March	167000	2012	3
581	Northwest Atlanta	March	40000	2012	3
582	Norwood Manor	March	36000	2012	3
583	Oakland	March	null	2012	3
584	Oakland City	March	29000	2012	3
585	Old Fourth Ward	March	73000	2012	3
586	Old Gordon	March	null	2012	3
587	Orchard Knob	March	17000	2012	3
588	Ormewood Park	March	132000	2012	3
589	Paces	March	110000	2012	3
590	Peachtree Battle	March	213000	2012	3
591	Peachtree Center	March	null	2012	3
592	Peachtree Heights East	March	380000	2012	3
593	Peachtree Heights West	March	180000	2012	3
594	Peachtree Hills	March	295000	2012	3
595	Peachtree Park	March	310000	2012	3
596	Penelope	March	null	2012	3
597	Peoplestown	March	46000	2012	3
598	Perkerson	March	23000	2012	3
599	Peyton Forest	March	41000	2012	3
600	Piedmont Heights	March	325000	2012	3
601	Pine Hills	March	145000	2012	3
602	Pittsburgh	March	12000	2012	3
603	Pleasant Hill	March	850000	2012	3
604	Polar Rock	March	11000	2012	3
605	Pomona Park	March	180000	2012	3
606	Poncey-Highland	March	139000	2012	3
607	Princeton Lakes	March	137000	2012	3
608	Randall Mill	March	1622000	2012	3
609	Rebel Valley Forest	March	20000	2012	3
610	Reynoldstown	March	90000	2012	3
611	Ridgecrest Forest	March	null	2012	3
612	Ridgedale Park	March	443000	2012	3
613	Ridgewood Heights	March	297000	2012	3
614	Riverside	March	65000	2012	3
615	Rockdale	March	225000	2012	3
616	Rosedale Heights	March	20000	2012	3
617	Sandtown	March	109000	2012	3
618	Scotts Crossing	March	null	2012	3
619	Sherwood Forest	March	652000	2012	3
620	SoNo	March	58000	2012	3
621	South Atlanta	March	9000	2012	3
622	South Downtown	March	39000	2012	3
623	South River Gardens	March	21000	2012	3
624	South Tuxedo Park	March	850000	2012	3
625	Southside	March	22000	2012	3
626	Southwest Atlanta	March	43000	2012	3
627	Springlake	March	630000	2012	3
628	Summerhill	March	70000	2012	3
629	Swallow Circle-Baywood	March	null	2012	3
630	Sweet Auburn	March	82000	2012	3
631	Sylvan Hills	March	20000	2012	3
632	Thomasville Heights	March	9000	2012	3
633	Tuxedo Park	March	945000	2012	3
634	Underwood Hills	March	225000	2012	3
635	Venetian Hills	March	15000	2012	3
636	Vine City	March	1000	2012	3
637	Virginia Highland	March	429000	2012	3
638	Washington Park	March	16000	2012	3
639	Wesley Battle	March	490000	2012	3
640	West End	March	51000	2012	3
641	West Highlands	March	213000	2012	3
642	West Lake	March	1000	2012	3
643	West Manor	March	70000	2012	3
644	West Paces Ferry	March	750000	2012	3
645	Westhaven	March	38000	2012	3
646	Westminster-Milmar	March	353000	2012	3
647	Westover Plantation	March	118000	2012	3
648	Westside	March	2000	2012	3
649	Westview	March	18000	2012	3
650	Westview Cemetery	March	null	2012	3
651	Westwood Terrace	March	25000	2012	3
652	Whitewater Creek	March	625000	2012	3
653	Whittier Mill Village	March	215000	2012	3
654	Wildwood	March	388000	2012	3
655	Wilson Mill Meadows	March	19000	2012	3
656	Wisteria Gardens	March	null	2012	3
657	Woodfield	March	490000	2012	3
658	Woodland Hills	March	47000	2012	3
659	Wyngate	March	1525000	2012	3
660	Adair Park	April	15000	2012	4
661	Adams Park	April	26000	2012	4
662	Adamsville	April	12000	2012	4
663	Almond Park	April	10000	2012	4
664	Ansley Park	April	799000	2012	4
665	Arden-Habersham	April	null	2012	4
666	Ardmore	April	368000	2012	4
667	Argonne Forest	April	710000	2012	4
668	Arlington Estates	April	24000	2012	4
669	Ashview Heights	April	13000	2012	4
670	Atkins Park	April	296000	2012	4
671	Atlanta University Center	April	40000	2012	4
672	Atlantic Station	April	131000	2012	4
673	Audobon Forest	April	100000	2012	4
674	Audobon Forest West	April	null	2012	4
675	Baker Hills	April	28000	2012	4
676	Bakers Ferry	April	21000	2012	4
677	Bankhead	April	10000	2012	4
678	Bankhead-Bolton	April	null	2012	4
679	Beecher Hills	April	35000	2012	4
680	Ben Hill	April	64000	2012	4
681	Ben Hill Forest	April	null	2012	4
682	Ben Hill Terrace	April	90000	2012	4
683	Benteen Park	April	105000	2012	4
684	Berkeley Park	April	126000	2012	4
685	Betmar Lavilla	April	27000	2012	4
686	Blair Villa-Poole Creek	April	null	2012	4
687	Blandtown	April	182000	2012	4
688	Bolton	April	120000	2012	4
689	Bolton Hills	April	null	2012	4
690	Boulder Park	April	null	2012	4
691	Boulevard Heights	April	138000	2012	4
692	Brandon	April	625000	2012	4
693	Brentwood	April	null	2012	4
694	Brookview Heights	April	null	2012	4
695	Brookwood	April	249000	2012	4
696	Brookwood Hills	April	325000	2012	4
697	Brookwood Hills Conservation District	April	718000	2012	4
698	Browns Mill Park	April	18000	2012	4
699	Buckhead	April	307000	2012	4
700	Buckhead Forest	April	248000	2012	4
701	Buckhead Heights	April	215000	2012	4
702	Bush Mountain	April	102000	2012	4
703	Cabbagetown	April	200000	2012	4
704	Campbellton Road	April	15000	2012	4
705	Candler Park	April	211000	2012	4
